"","Word","Fits.","X","annotations"
"213","regrets",1,NA,1
"214","rending",1,NA,1
"215","respectful",0,NA,0
"216","restrained",0,NA,0
"217","retribution",0,NA,0
"218","retrospect",0,NA,0
"219","revenge",1,NA,1
"220","ruthlessly",1,NA,1
"221","scarred",0,NA,0
"222","screamed",0,NA,0
"223","scruples",0,NA,0
"224","seemed",0,0,0
"225","semblance",0,NA,0
"226","sensed",0,NA,0
"227","sentimental",0,NA,0
"228","shameful",1,NA,1
"229","shrugs",0,NA,0
"230","shudders",0,NA,0
"231","sighs",0,NA,0
"232","slackened",0,NA,0
"233","slept",0,NA,0
"234","slumber",0,NA,0
"235","smothered",1,NA,1
"236","snarling",1,NA,1
"237","sneering",1,NA,1
"238","sobbed",1,NA,1
"239","somber",1,1,1
"240","sordid",1,NA,1
"241","spirited",0,NA,0
"242","spoiled",1,NA,1
"243","squirming",1,NA,1
"244","stared",0,NA,0
"245","startle",1,NA,1
"246","stereotype",0,NA,0
"247","stirring",0,NA,0
"248","strife",0,NA,0
"249","studious",0,NA,0
"250","subjection",1,NA,1
"251","submissive",1,NA,1
"252","superiors",0,NA,0
"253","surely",0,NA,0
"254","surly",1,NA,1
"255","swiftly",0,NA,0
"256","tact",0,NA,0
"257","talkative",0,NA,0
"258","tantalizing",0,NA,0
"259","taunting",1,NA,1
"260","tearful",1,NA,1
"261","teasing",1,NA,1
"262","thankfully",0,NA,0
"263","thirst",0,1,0
"264","throbbed",0,NA,0
"265","timidity",1,NA,1
"266","tired",1,NA,1
"267","tiredness",1,NA,1
"268","tolerate",0,NA,0
"269","tortures",1,NA,1
"270","transpired",0,NA,0
"271","tricked",1,NA,1
"272","trickery",1,NA,1
"273","truthfully",0,NA,0
"274","unaccustomed",0,NA,0
"275","unaware",0,NA,0
"276","uncompromising",1,NA,1
"277","unconsciously",0,NA,0
"278","undeniably",0,NA,0
"279","underestimate",1,NA,1
"280","undermine",1,NA,1
"281","unease",1,1,1
"282","unjust",1,NA,1
"283","unpopular",1,1,1
"284","unpredictable",1,NA,1
"285","unseeing",0,NA,0
"286","unsuspecting",0,NA,0
"287","unwillingly",1,0,0
"288","unyielding",0,NA,0
"289","vicious",1,NA,1
"290","vicissitudes",0,NA,0
"291","want",0,0,0
"292","weep",1,NA,1
"293","weeps",1,NA,1
"294","wept",1,NA,1
"295","wheezing",1,NA,1
"296","whimpering",1,NA,1
"297","willing",0,0,0
"298","wished",0,0,0
"299","womanly",0,NA,0
"300","worse",1,NA,1
"301","wrath",1,1,1
