"Word","Fits.","X","annotations"
"confused",0,"0",0
"connect",0,"1",0
"connects",0,"0",0
"consequential",0,"0",0
"consider",0,"0",0
"consist",0,"0",0
"consolation",1,"0",0
"constitutes",0,"0",0
"consume",0,"0",0
"contend",0,"0",0
"content",1,"1",1
"contented",1,"1",1
"contentious",1,"0",0
"contentment",1,"1",1
"contents",1,"0",0
"continuing",0,"0",0
"contract",0,"0",0
"contribute",0,"1",0
"controversial",0,"0",0
"convenient",1,"1",1
"convince",0,"0",0
"convinced",0,"0",0
"convivial",1,"1",1
"cool",1,"1",1
"correct",1,"1",1
"correspond",0,"0",0
"costly",0,"0",0
"cosy",1,"1",1
"countenance",0,"0",0
"courage",1,"1",1
"courtesy",1,"1",1
"cover",0,"0",0
"crack",0,"0",0
"criticised",0,"0",0
"criticism",0,"0",0
"criticized",0,"0",0
"crucial",0,"0",0
"cuddlesome",1,"1",1
"cuddly",1,"1",1
"curious",1,"1",1
"cute",1,"1",1
"dainty",1,"1",1
"damaging",0,"0",0
"dangerous",0,"0",0
"darling",1,"1",1
"darwin",0,"0",0
"dead",0,"0",0
"deaden",0,"0",0
"dear",1,"1",1
"decent",0,"1",0
"decide",0,"0",0
"decides",0,"0",0
"declaration",0,"0",0
"declare",0,"0",0
"decorate",0,"1",0
"decoration",0,"1",0
"dedication",1,"0",0
"deemed",0,"0",0
"defeat",0,"0",0
"defence",0,"0",0
"defend",0,"0",0
"defended",0,"0",0
"defense",0,"0",0
"deference",1,"0",0
"define",0,"0",0
"defining",0,"0",0
"definitive",0,"0",0
"deify",0,"0",0
"delectable",1,"1",1
"delectableness",1,"1",1
"delectation",1,"1",1
"deliberate",0,"0",0
"delicate",1,"0",0
"delicious",1,"1",1
"delight",1,"1",1
"delight in",1,"1",1
"delighted",1,"1",1
"deliver",0,"0",0
"demanded",0,"0",0
"demanding",0,"0",0
"demolished",0,"0",0
"demonstrate",0,"0",0
"denied",0,"0",0
"deny",0,"0",0
"dependence",0,"0",0
"deposit",0,"0",0
"derive",0,"0",0
"describes",0,"0",0
"designate",0,"0",0
"desirable",1,"1",1
"desire",1,"0",0
"desires",1,"0",0
"desperate",0,"0",0
"destructive",0,"0",0
"detailed",0,"0",0
"detected",0,"0",0
"determine",0,"0",0
"determined",1,"0",0
"determines",0,"0",0
"determining",0,"0",0
"devastating",0,"0",0
"devised",0,"0",0
"devoted",1,"0",0
"devotion",1,"0",0
"difficult",0,"0",0
"diminished",0,"0",0
"direct",0,"0",0
"disaster",0,"0",0
"disbanding",0,"0",0
"discomposure",0,"0",0
"discover",0,"0",0
"discovers",0,"0",0
"discuss",0,"0",0
"discussed",0,"0",0
"discussion",0,"0",0
"disease",0,"0",0
"distinguish",0,"0",0
"distract",0,"0",0
"distraction",0,"0",0
"diversion",0,"0",0
"divert",0,"0",0
"doing",0,"0",0
"donations",1,"1",1
"donor",1,"1",1
"downer",0,"0",0
"droll",1,"1",1
"dye",0,"0",0
"eager",0,"1",0
"earn",0,"1",0
"earned",0,"1",0
"ease",1,"1",1
"easement",1,"1",1
"easier",1,"1",1
"easy",1,"1",1
"ebullient",0,"1",0
"edgy",0,"0",0
"educated",1,"1",1
"effective",1,"1",1
"effectively",0,"0",0
"efficient",1,"1",1
"elaborate",0,"1",0
"elderly",0,"0",0
"elect",0,"0",0
"elegant",1,"1",1
"eliminate",0,"0",0
"eliminated",0,"0",0
"emancipate",0,"1",0
"emotion",0,"0",0
"emphasis",0,"0",0
"emphasized",0,"0",0
"employ",0,"0",0
"enable",1,"1",1
"enacted",0,"0",0
"enchant",1,"1",1
"enchanted",1,"1",1
"enchanting",1,"1",1
"encourage",1,"1",1
"endearment",1,"1",1
"energize",0,"1",0
"energy",0,"1",0
"enforce",0,"0",0
"engage",0,"1",0
"engaged",0,"1",0
"enjoy",1,"1",1
"enjoy oneself",1,"1",1
"enjoyable",1,"1",1
"enjoyed",1,"1",1
"enjoyment",1,"1",1
"enjoys",1,"1",1
"enliven",1,"1",1
"enough",0,"0",0
"ensure",0,"1",0
"ensured",0,"1",0
"ensures",0,"1",0
"ensuring",0,"1",0
"entertain",1,"1",1
"entertaining",1,"1",1
"entertainment",1,"1",1
"enthusiasm",1,"1",1
"enthusiastic",1,"1",1
"environmental",0,"0",0
"essential",0,"0",0
"establish",0,"0",0
"establishes",0,"0",0
"esteem",1,"1",1
"estimate",0,"0",0
"estimation",0,"1",0
"euphoria",1,"1",1
"evaluate",0,"1",0
"evaluation",0,"1",0
"evident",0,"1",0
"exact",0,"1",0
"exaggerated",0,"0",0
"examine",0,"0",0
"examined",0,"0",0
"exceed",0,"0",0
"excellence",1,"1",1
"excellent",1,"1",1
"excitement",1,"1",1
"exciting",1,"1",1
"exclude",0,"0",0
"exercised",0,"0",0
"exhibit",0,"0",0
"exhilarating",1,"1",1
"exhilaration",1,"1",1
"exotic",0,"1",0
"expect",0,"0",0
"expectancy",0,"0",0
"expectation",0,"0",0
"expedient",0,"1",0
"expensive",0,"0",0
"experience",0,"0",0
"experiences",0,"0",0
"explained",0,"0",0
"explaining",0,"0",0
"explored",0,"0",0
"exultant",1,"1",1
"facilitate",1,"1",1
"facilitation",1,"1",1
"fail",0,"0",0
"faithful",1,"1",1
"familiar",1,"1",1
"fan",1,"1",1
"fascination",1,"1",1
"fasten",0,"0",0
"father",0,"1",0
"favor",1,"1",1
"favored",1,"1",1
"favour",1,"1",1
"fear",0,"0",0
"fear (fright)",0,"0",0
"feast",1,"1",1
"feed",0,"0",0
"feel",0,"0",0
"feels",0,"0",0
"felicitous",1,"1",1
"felicity",1,"1",1
"felt",0,"0",0
"female admirer",1,"1",1
"fervent",0,"1",0
"fervid",0,"1",0
"fervidly",0,"1",0
"fervor",0,"1",0
"fervour",0,"1",0
"festive",1,"1",1
"fetching",1,"1",1
"fever",0,"0",0
"fierce",0,"0",0
"fiery",0,"1",0
"files",0,"0",0
"fill",0,"0",0
"financed",0,"0",0
"find",0,"0",0
"fine",1,"1",1
"finger",0,"0",0
"fire",0,"0",0
"fit",0,"0",0
"fitness",0,"1",0
"fix",0,"0",0
"flagship",0,"1",0
"flame",0,"0",0
"flawed",0,"0",0
"fluster",0,"0",0
"flutter",0,"1",0
"focus",0,"0",0
"follow",0,"0",0
"follows",0,"0",0
"fond",1,"1",1
"fondness",1,"1",1
"force",0,"0",0
"forfeit",0,"0",0
"formless",0,"0",0
"formulated",0,"0",0
"fortunate",1,"1",1
"fortunately",1,"1",1
"fortune",1,"1",1
"fragile",0,"0",0
"freak",0,"0",0
"free",1,"1",1
"frequent",0,"0",0
"friendly",1,"1",1
"friends",1,"1",1
"frisky",1,"1",1
"frolic",1,"1",1
"frolicsome",1,"1",1
"fulfill",0,"1",0
"full",0,"0",0
"fun",1,"1",1
"fundamental",0,"0",0
"funny",1,"1",1
"fury",0,"0",0
"fuse",0,"0",0
"gaiety",1,"1",1
"gaily",1,"1",1
"gain",0,"1",0
"gained",0,"1",0
"game",1,"0",0
"gay",1,"1",1
"gayer",1,"1",1
"gayest",1,"1",1
"gayness",1,"1",1
"general",0,"0",0
"generous",1,"1",1
"genial",1,"1",1
"gentle",1,"1",1
"get in",0,"0",0
"girl",0,"0",0
"give",0,"1",0
"glad",1,"1",1
"gladness",1,"1",1
"gladsome",1,"1",1
"glee",1,"1",1
"gleeful",1,"1",1
"glorify",1,"1",1
"glory",1,"1",1
"glow",0,"1",0
"go far",0,"0",0
"god",0,"1",0
"good",1,"1",1
"goodly",1,"1",1
"gorgeous",1,"1",1
"government",0,"0",0
"gracious",1,"1",1
"grandson",0,"0",0
"grant",0,"1",0
"granted",0,"1",0
"grateful",1,"1",1
"gratefulness",1,"1",1
"gratification",1,"1",1
"gratified",1,"1",1
"gratifies",1,"1",1
"gratify",1,"1",1
"gratifying",1,"1",1
"gratitude",1,"1",1
"gripped",0,"0",0
"gripping",0,"1",0
"guarantee",0,"1",0
"guaranty",0,"1",0
"handlebars",0,"0",0
"handled",0,"0",0
"happily",1,"1",1
"happiness",1,"1",1
"happy",1,"1",1
"happy as a clam",1,"1",1
"happy as a clam at high tide",1,"1",1
"happy as a king",1,"1",1
"happy as a lark",1,"1",1
"happy as a sandboy",1,"1",1
"happy as can be",1,"1",1
"harbour",0,"0",0
"hard",0,"0",0
"harmony",1,"1",1
"harsh",0,"0",0
"haughty",0,"0",0
"have",0,"0",0
"have a good time",1,"1",1
"healthy",1,"1",1
"hear",0,"0",0
"heat",0,"0",0
"helm",0,"0",0
"help",1,"1",1
"helpful",1,"1",1
"her",0,"0",0
"high and mighty",0,"1",0
"high-minded",0,"1",0
"hilarious",1,"1",1
"hilarity",1,"1",1
"historical",0,"0",0
"hold",0,"0",0
"honored",1,"1",1
"honour",1,"1",1
"hoped",0,"1",0
"horny",0,"0",0
"horror",0,"0",0
"hot",0,"0",0
"humorous",1,"1",1
"hurray",1,"1",1
"i",0,"0",0
"identifies",0,"0",0
"identify",0,"0",0
"idolize",1,"0",0
"ignore",0,"0",0
"ignored",0,"0",0
"illustrate",0,"0",0
"imagined",0,"0",0
"immediate",0,"0",0
"immense",0,"0",0
"impassioned",1,"1",1
"impel",0,"0",0
"imperturbability",0,"1",0
"imperturbable",0,"1",0
"impetuous",0,"0",0
"implement",0,"0",0
"implemented",0,"0",0
"implies",0,"0",0
"imply",0,"0",0
"importance",1,"0",0
"important",1,"0",0
"importantly",1,"0",0
"impose",0,"0",0
"impressed",0,"1",0
"impressive",1,"1",1
"inability",0,"0",0
"inaccurate",0,"0",0
"incentive",1,"0",0
"incite",1,"0",0
"inclination",0,"0",0
"income",0,"1",0
"incorrect",0,"0",0
"increasingly",0,"0",0
"indebted",0,"0",0
"indemnify",0,"1",0
"indicated",0,"0",0
"indicates",0,"0",0
"indicating",0,"0",0
"indirect",0,"0",0
"induce",0,"0",0
"inevitable",0,"0",0
"infants",0,"0",0
"influence",1,"0",0
"influential",1,"1",1
"inform",0,"1",0
"information",0,"0",0
"informed",0,"1",0
"inherited",0,"0",0
"initiate",0,"1",0
"initiated",0,"1",0
"innovative",1,"1",1
"inspiration",1,"1",1
"inspire",1,"1",1
"installation",0,"0",0
"installed",0,"0",0
"instigate",0,"0",0
"instructed",0,"0",0
"insufficient",0,"0",0
"insurance",0,"0",0
"insure",0,"0",0
"intelligence",1,"1",1
"intense",0,"0",0
"intensity",0,"0",0
"intercourse",0,"0",0
"interest",1,"1",1
"interesting",1,"1",1
"internal",0,"0",0
"interpol",0,"0",0
"intriguing",1,"1",1
"intuitive",0,"1",0
"invalid",0,"0",0
"invested",0,"1",0
"investigate",0,"0",0
"investigated",0,"0",0
"invited",0,"1",0
"involve",0,"0",0
"involved",0,"0",0
"irrelevant",0,"0",0
"irritable",0,"0",0
"jaunty",1,"0",0
"jocose",1,"1",1
"jocular",1,"1",1
"jocularly",1,"1",1
"jocund",1,"1",1
"join",0,"0",0
"joke",1,"1",1
"jokey",1,"0",0
"joking",1,"1",1
"joky",1,"0",0
"jollity",1,"1",1
"jolly",1,"1",1
"jovial",1,"1",1
"joy",1,"1",1
"joyful",1,"1",1
"joyfully",1,"1",1
"joyous",1,"1",1
"joyously",1,"1",1
"joyousness",1,"1",1
"jumping",0,"0",0
"justified",0,"0",0
"keen",0,"1",0
"key",0,"0",0
"kind",1,"1",1
"knew",0,"0",0
"know",0,"0",0
"knowledge",1,"1",1
"knows",0,"0",0
"lack",0,"0",0
"lacked",0,"0",0
"landform",0,"0",0
"laughable",1,"0",0
"launching",0,"0",0
"leave",0,"0",0
"legitimate",0,"1",0
"leisurely",0,"1",0
"liberate",1,"1",1
"liberation",1,"1",1
"lifelong",0,"0",0
"lifted",1,"0",0
"like",1,"1",1
"liked",1,"1",1
"likely",0,"0",0
"likes",1,"1",1
"liking",1,"1",1
"limited",0,"0",0
"listen",0,"0",0
"little",0,"0",0
"live",0,"1",0
"lively",1,"1",1
"locate",0,"0",0
"lofty",1,"0",0
"look for",0,"0",0
"loose",0,"0",0
"lose",0,"0",0
"loses",0,"0",0
"love",1,"1",1
"loved one",1,"1",1
"lovely",1,"1",1
"lover",1,"1",1
"loving",1,"1",1
"low",0,"0",0
"luck",1,"1",1
"luckily",1,"1",1
"lucky",1,"1",1
"luscious",1,"1",1
"lust",1,"1",1
"magnificent",1,"1",1
"maintain",0,"0",0
"maintained",0,"0",0
"make",0,"0",0
"make fast",0,"0",0
"make it",0,"1",0
"man",0,"0",0
"manage",0,"0",0
"maritime law",0,"0",0
"marry",0,"1",0
"marvellous",1,"1",1
"matched",0,"0",0
"material",0,"0",0
"me",0,"0",0
"meaning",0,"0",0
"meaningless",0,"0",0
"meet",0,"0",0
"meet with",0,"0",0
"mellow",1,"1",1
"melt",0,"0",0
"memorable",1,"1",1
"memory",0,"0",0
"merriment",1,"1",1
"merry",1,"1",1
"met",0,"0",0
"mettle",1,"1",1
"mettlesome",1,"1",1
"might",1,"0",0
"mighty or powerful or strong",1,"1",1
"mild",1,"0",0
"mind",0,"0",0
"ministration",0,"1",0
"mirth",1,"1",1
"mirthful",1,"1",1
"mirthfully",1,"1",1
"mirthless",0,"0",0
"moor",0,"0",0
"mordant",0,"0",0
"mortgage",0,"0",0
"mother",0,"0",0
"motion",0,"0",0
"motives",0,"0",0
"mounting",0,"0",0
"move",0,"0",0
"multitude",0,"0",0
"my",0,"0",0
"national",0,"0",0
"necessarily",0,"0",0
"necessary",0,"0",0
"need",0,"0",0
"need (noun)",0,"0",0
"needed",0,"0",0
"negotiated",0,"0",0
"nephew",0,"0",0
"nice",0,"0",0
"notable",1,"1",1
"noteworthy",1,"1",1
"nothing",0,"0",0
"notice",0,"0",0
"noticeable",1,"0",0
"notorious",0,"0",0
"nourish",1,"0",0
"nurse",0,"0",0
"nurture",1,"1",1
"obliged",0,"0",0
"obliging",0,"0",0
"obscure",0,"0",0
"observe",0,"0",0
"observed",0,"0",0
"obstacle",0,"0",0
"obtain",0,"0",0
"obvious",0,"0",0
"occupy",0,"0",0
"odd",0,"0",0
"offer",1,"0",0
"offered",1,"0",0
"offers",1,"0",0
"oh",0,"0",0
"operational",0,"0",0
"opinion",0,"0",0
"opportunity",1,"1",1
"oppose",0,"0",0
"ornament",0,"0",0
"ornamentation",0,"0",0
"outcome",0,"0",0
"over the moon",0,"1",0
"overcome",0,"1",0
"overhappy",0,"1",0
"overjoyed",0,"1",0
"overtake",0,"0",0
"overthrown",0,"0",0
"own",0,"0",0
"pacific",1,"0",0
"page",0,"0",0
"paid",0,"0",0
"painful",0,"0",0
"palatable",1,"1",1
"partiality",0,"0",0
"participate",0,"0",0
"participation",0,"0",0
"particular",0,"0",0
"party",1,"1",1
"passion",1,"1",1
"pastime",1,"0",0
"pawn",0,"0",0
"pay",0,"0",0
"pay off",0,"1",0
"peace",1,"1",1
"peaceable",1,"1",1
"peaceful",1,"1",1
"peaceloving",1,"1",1
"peculiar",0,"0",0
"pep",1,"1",1
"perceive",0,"0",0
"percent",0,"0",0
"percentage",0,"0",0
"performs",0,"0",0
"perhaps",0,"0",0
"perky",0,"1",0
"permission",0,"0",0
"permit",0,"0",0
"persona",0,"0",0
"persuaded",0,"0",0
"picnic",0,"1",0
"piercing",0,"0",0
"pink",0,"0",0
"pith",0,"0",0
"pity",0,"0",0
"placid",1,"1",1
"placidity",1,"1",1
"placidly",1,"1",1
"plagued",0,"0",0
"plaudit",1,"1",1
"play",1,"1",1
"playful",1,"1",1
"pleasant",1,"1",1
"pleasantly",1,"1",1
"please",1,"1",1
"pleased",1,"1",1
"pleasing",1,"1",1
"pleasurable",1,"1",1
"pleasure",1,"1",1
"pledge",0,"0",0
"poignancy",0,"0",0
"poignant",0,"0",0
"police",0,"0",0
"policy",0,"0",0
"political",0,"0",0
"pompous",0,"0",0
"popularity",1,"1",1
"pornography",0,"0",0
"portrayal",0,"0",0
"pose",0,"0",0
"positioned",0,"0",0
"positive",1,"1",1
"possess",0,"0",0
"possessed",0,"0",0
"possible",1,"1",1
"pother",0,"0",0
"power",0,"1",0
"practical",0,"1",0
"practiced",0,"0",0
"praised",1,"1",1
"precise",0,"1",0
"precisely",0,"1",0
"prefer",0,"1",0
"prepare",0,"0",0
"presence",0,"0",0
"preserve",0,"1",0
"preserving",0,"1",0
"presumptuous",0,"0",0
"pretentious",0,"0",0
"pretty",1,"1",1
"prevalent",0,"0",0
"prevented",0,"0",0
"pride",1,"1",1
"prideful",1,"1",1
"pridefully",1,"1",1
"priggish",0,"0",0
"probable",0,"1",0
"problem",0,"0",0
"problematic",0,"0",0
"profit",0,"0",0
"prohibit",0,"0",0
"prolonged",0,"0",0
"promising",1,"1",1
"propensity",0,"1",0
"propitiate",1,"1",1
"propose",0,"0",0
"prospect",0,"0",0
"prosperous",1,"1",1
"protection",1,"1",1
"prove",0,"0",0
"proves",0,"0",0
"provide",0,"1",0
"provoke",0,"0",0
"provoked",0,"0",0
"provokes",0,"0",0
"public",0,"0",0
"puissance",0,"1",0
"punch",0,"0",0
"pungency",0,"0",0
"punished",0,"0",0
"pursued",0,"0",0
"pursuing",0,"0",0
"put up",0,"0",0
"quaint",0,"0",0
"qualified",1,"1",1
"qualify",1,"1",1
"quantity",0,"0",0
"questionable",0,"0",0
"quick",0,"1",0
"quiescence",0,"0",0
"quiescent",0,"0",0
"quiet",1,"0",0
"quietly",1,"0",0
"quietness",1,"0",0
"quietude",1,"0",0
"racy",1,"1",1
"rage",0,"0",0
"raise",0,"1",0
"rapture",1,"0",0
"rapturous",1,"0",0
"rare",0,"0",0
"rate",0,"0",0
"rating",0,"0",0
"react",0,"0",0
"readily",0,"1",0
"realistic",0,"1",0
"realization",0,"0",0
"realize",0,"0",0
"realized",0,"0",0
"reasonable",1,"1",1
"reassuring",1,"1",1
"rebuilt",0,"0",0
"receive",0,"0",0
"received",0,"0",0
"reception",0,"0",0
"recess",0,"0",0
"recognise",1,"0",0
"recognition",1,"1",1
"recognize",1,"0",0
"recognizes",1,"0",0
"recovery",0,"0",0
"recreation",1,"1",1
"red admiral",0,"0",0
"redeem",1,"1",1
"redemption",1,"1",1
"reflect",0,"0",0
"refuse",0,"0",0
"refusing",0,"0",0
"regain",0,"0",0
"regard",0,"1",0
"regarded",0,"1",0
"regarding",0,"1",0
"regulate",0,"0",0
"regulated",0,"0",0
"reject",0,"0",0
"rejects",0,"0",0
"rejoice",1,"1",1
"rejoiced",1,"1",1
"relate",0,"0",0
"relationship",0,"0",0
"relaxation",1,"1",1
"relay",0,"0",0
"release",0,"0",0
"relevance",0,"1",0
"relevant",0,"1",0
"reliable",1,"1",1
"reliance",0,"1",0
"reluctant",0,"0",0
"remarkable",1,"1",1
"remember",0,"0",0
"remembered",0,"0",0
"remission",0,"0",0
"remove",0,"0",0
"removed",0,"0",0
"render",0,"0",0
"renewed",0,"1",0
"replace",0,"0",0
"replaces",0,"0",0
"replete",1,"0",0
"reply",0,"0",0
"repose",1,"0",0
"reposeful",1,"0",0
"represents",0,"0",0
"reproduce",0,"0",0
"reputation",0,"1",0
"require",0,"0",0
"resemble",0,"0",0
"resist",0,"0",0
"resisted",0,"0",0
"resolute",1,"0",0
"resolution",1,"0",0
"resources",0,"0",0
"respect",1,"1",1
"respected",1,"1",1
"respond",0,"0",0
"response",0,"0",0
"responsible",0,"1",0
"rest",1,"0",0
"restful",1,"0",0
"restore",1,"0",0
"restrict",0,"0",0
"result",0,"0",0
"retain",0,"0",0
"retains",0,"0",0
"return",0,"0",0
"reveal",0,"0",0
"reveals",0,"0",0
"revenge",0,"0",0
"revere",1,"1",1
"reversed",0,"0",0
"rhapsodizing",0,"1",0
"rich",0,"1",0
"risk",0,"0",0
"roundabout",0,"0",0
"rouse",0,"0",0
"rousing",0,"0",0
"rudder",0,"0",0
"safe",1,"1",1
"safeguard",0,"1",0
"safely",1,"1",1
"safeness",1,"1",1
"safety",1,"1",1
"said",0,"0",0
"sake",1,"0",0
"salary",0,"0",0
"satiate",0,"0",0
"satisfaction",1,"1",1
"satisfied",1,"1",1
"satisfy",1,"1",1
"save",1,"0",0
"savour",1,"1",1
"saxony",0,"0",0
"say",0,"0",0
"saying",0,"0",0
"says",0,"0",0
"screens",0,"0",0
"second",0,"0",0
"sedate",0,"0",0
"sedately",0,"0",0
"sedulous",1,"0",0
"seek",0,"0",0
"seem",0,"0",0
"seemed",0,"0",0
"seems",0,"0",0
"sees",0,"0",0
"selfless",1,"1",1
"sense",0,"0",0
"serendipitously",1,"0",0
"serene",1,"1",1
"serenity",1,"1",1
"serious",0,"0",0
"settle",0,"0",0
"severe",0,"0",0
"sexual love",1,"1",1
"shake",0,"0",0
"shake up",0,"0",0
"shapeless",0,"0",0
"share",0,"1",0
"sharp",0,"0",0
"she",0,"0",0
"shift",0,"0",0
"shiver",0,"0",0
"shock",0,"0",0
"shocked",0,"0",0
"shrewd",0,"1",0
"shrill",0,"0",0
"shudder",0,"0",0
"significance",1,"1",1
"significant",1,"1",1
"signification",1,"1",1
"signing",0,"0",0
"silence",0,"1",0
