"","Word","Fits.","X","annotations"
"224","satire",0,NA,0
"225","savored",0,NA,0
"226","scared",0,NA,0
"227","scruples",1,NA,1
"228","searing",0,NA,0
"229","seeing",0,NA,0
"230","sensibilities",1,NA,1
"231","sensual",0,NA,0
"232","sentimental",1,NA,1
"233","shockingly",0,NA,0
"234","shyly",0,NA,0
"235","sincere",1,NA,1
"236","sinned",0,NA,0
"237","skillfully",1,NA,1
"238","smile",1,NA,1
"239","snatches",0,NA,0
"240","sobs",0,NA,0
"241","sorrows",0,NA,0
"242","splendour",0,NA,0
"243","startlingly",0,NA,0
"244","strangely",0,NA,0
"245","stranger",0,NA,0
"246","stubborn",0,NA,0
"247","stunned",0,NA,0
"248","stylish",0,NA,0
"249","suitor",0,NA,0
"250","superbly",1,NA,1
"251","supremely",1,NA,1
"252","swayed",0,NA,0
"253","sweet",1,1,1
"254","sweetheart",1,1,1
"255","sympathetically",1,NA,1
"256","tact",1,NA,1
"257","taste",0,NA,0
"258","terrible",0,NA,0
"259","thanking",1,NA,1
"260","thing",0,NA,0
"261","thoughtfully",1,NA,1
"262","threateningly",0,NA,0
"263","timeless",0,NA,0
"264","tiredly",0,NA,0
"265","tiring",0,NA,0
"266","touching",1,NA,1
"267","trappings",0,NA,0
"268","tremendous",0,NA,0
"269","tremendously",0,NA,0
"270","triumphantly",1,NA,1
"271","truly",1,NA,1
"272","truthful",1,NA,1
"273","truthfully",1,NA,1
"274","unbelievably",0,NA,0
"275","unblinking",0,NA,0
"276","uncommonly",1,NA,1
"277","undercurrent",0,NA,0
"278","unerring",1,0,0
"279","unexpected",0,NA,0
"280","unhappiness",0,NA,0
"281","unmistakably",1,NA,1
"282","unnerved",0,NA,0
"283","unruffled",1,1,1
"284","unwashed",0,NA,0
"285","upsetting",0,NA,0
"286","veritable",1,NA,1
"287","vexed",0,NA,0
"288","vindictive",0,NA,0
"289","voluptuous",0,NA,0
"290","wafting",0,NA,0
"291","wants",0,0,0
"292","wariness",1,NA,1
"293","whining",0,NA,0
"294","whispered",0,NA,0
"295","wickedly",0,NA,0
"296","wistful",0,NA,0
"297","wit",1,NA,1
"298","witty",1,NA,1
"299","worldly",0,NA,0
"300","worrying",0,NA,0
