"","Word","Fits.","X","annotations"
"212","rages",1,NA,1
"213","realized",0,0,0
"214","reeking",0,NA,0
"215","refreshing",0,NA,0
"216","remarkable",0,NA,0
"217","replied",0,NA,0
"218","repression",1,NA,1
"219","restrain",1,NA,1
"220","revelation",0,NA,0
"221","revolutionaries",0,NA,0
"222","revulsion",1,1,1
"223","riddled",0,NA,0
"224","rudely",1,NA,1
"225","sacrament",0,NA,0
"226","scowl",1,NA,1
"227","screwing",0,NA,0
"228","scruffy",1,NA,1
"229","scruples",0,NA,0
"230","seduced",0,NA,0
"231","seducing",0,NA,0
"232","selves",0,NA,0
"233","sepulchre",0,NA,0
"234","seriously",0,0,0
"235","shunned",0,NA,0
"236","sigh",0,1,0
"237","skepticism",1,0,0
"238","skimpy",1,NA,1
"239","smiling",0,NA,0
"240","smirked",1,NA,1
"241","sores",1,NA,1
"242","splashing",0,NA,0
"243","spying",1,NA,1
"244","squeaking",0,NA,0
"245","squirm",1,NA,1
"246","squirming",1,NA,1
"247","staccato",1,NA,1
"248","steadily",0,NA,0
"249","stings",1,NA,1
"250","stooping",0,NA,0
"251","storms",1,NA,1
"252","struggles",1,NA,1
"253","sucking",0,NA,0
"254","suicidal",1,NA,1
"255","suitor",0,NA,0
"256","suppressed",1,1,1
"257","surprising",0,0,0
"258","swearing",1,NA,1
"259","tearing",1,NA,1
"260","tells",0,NA,0
"261","terrible",1,1,1
"262","thou",0,NA,0
"263","thoughtless",1,NA,1
"264","thundered",1,NA,1
"265","tissues",0,NA,0
"266","torments",1,NA,1
"267","tossing",0,NA,0
"268","toying",0,NA,0
"269","tragically",1,NA,1
"270","treading",0,NA,0
"271","tremor",0,NA,0
"272","trouble",1,1,1
"273","trough",0,NA,0
"274","truthfully",0,NA,0
"275","tumbled",1,NA,1
"276","unconscious",0,NA,0
"277","undertone",0,NA,0
"278","undisguised",0,NA,0
"279","undoubtedly",0,0,0
"280","unearthly",0,NA,0
"281","ungrateful",1,NA,1
"282","unnatural",1,NA,1
"283","unreasonable",1,1,1
"284","unthinkable",1,NA,1
"285","untrue",1,NA,1
"286","vain",1,NA,1
"287","vehement",0,NA,0
"288","vividly",0,NA,0
"289","wanton",1,NA,1
"290","warlock",1,NA,1
"291","weakening",1,NA,1
"292","wetting",0,NA,0
"293","whined",1,NA,1
"294","wielding",0,NA,0
"295","willed",0,NA,0
"296","willingly",0,NA,0
"297","winked",0,NA,0
"298","wonderfully",0,NA,0
"299","wrongs",1,NA,1
"300","zeal",0,NA,0
